,1951 (309),1957 (167),1962 (206),1967 (234),1971 (234),1977,1980,1984,1989,1991,1996,2001,2006,2011,2016
No of contestants,1677,887,798,778,1406,1390,1029,1499,3046,2834,1029,1860,2586,2748,
FD*,,,,***,756,721,543,1017,2407,2336,543,1376,2102,2270,
"
",,,,,,,,,,,,,,,
"
Contested Canditates",,,,,"
",,,,,,,,,,
,1951,1957,1962,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011,2016
Male,,867,781,767,1406,1366,1012,1453,2968,2732,1012,1748,2430,2605,
Female,,20,17,11,0,24,17,46,78,102,17,112,156,143,
"
Elected Canditates",,,,,"
",,,,,,,,,,
,1951,1957,1962,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011,2016
Male,,,196,231,234,232,229,226,225,202,225,209,212,217,
Female,,,10,3,0,2,5,8,9,32,9,25,22,17,
,,,,,,,,,,,,,,,
"
FD Canditates",,,,,"
",,,,,,,,,,
,1951,1957,1962,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011,2016
Male,,,***,***,756,710,538,989,2354,2274,538,1308,1992,2159,
Female,,,***,***,0,11,5,28,53,62,5,68,110,111,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
FD* - Forfeiture of Deposit,,,,,,,,,,,,,,,
